"G","A","PM","PIM","S","ATOI","BLK","HIT","FO","Pos"
1,11,11,8,44,1125,65,45,0,"D"
4,8,-2,29,53,711,36,127,44.1,"W"
0,8,-18,11,68,994,42,31,100,"D"
28,24,6,6,181,888,25,40,42.4,"W"
16,27,13,19,143,862,26,70,43.3,"W"
6,6,2,28,65,1219,125,76,0,"D"
6,16,-8,48,128,1248,127,244,0,"D"
0,20,-1,34,67,852,70,75,0,"D"
6,14,-4,37,95,1268,79,66,0,"D"
1,12,16,8,54,960,36,48,0,"D"
6,22,-22,18,55,783,36,22,55.1,"C"
10,4,7,55,77,696,30,238,66.7,"W"
5,8,0,17,64,630,14,88,0,"W"
0,2,-2,17,16,512,5,45,48.6,"C"
6,4,-4,8,23,707,14,21,31.6,"W"
5,17,-7,60,88,1039,107,197,0,"D"
3,11,13,10,60,842,55,22,0,"D"
9,36,-7,73,150,1002,28,49,44.9,"W"
14,18,10,26,129,898,28,28,41.7,"W"
7,2,-1,74,26,917,14,39,0,"W"
3,8,17,38,48,989,61,95,0,"D"
10,50,23,54,205,1610,128,127,0,"D"
3,1,-10,28,51,1171,30,81,51,"C"
25,45,-7,30,194,1159,24,40,56.1,"C"
13,33,-28,30,164,1056,27,55,42.5,"W"
6,10,-2,33,89,921,47,145,54.7,"C"
20,28,8,49,165,998,46,127,43.8,"W"
27,32,-22,18,190,2078,49,60,53,"C"
11,12,-5,16,97,1589,26,46,50,"W"
14,36,15,41,176,1429,112,136,100,"D"
1,1,1,6,38,1140,16,62,39.8,"C"
5,13,-5,30,102,1237,132,101,0,"D"
5,19,1,20,138,1034,59,29,100,"D"
15,22,-19,22,151,986,48,92,51.4,"C"
23,18,-17,35,136,990,19,60,42.9,"W"
11,16,-6,22,107,872,45,63,52.1,"C"
25,34,5,21,183,964,30,46,36.4,"W"
6,28,-18,68,172,1457,203,157,50,"D"
7,10,-1,57,124,1244,150,116,0,"D"
29,31,14,26,231,965,27,39,55.6,"W"
25,39,-25,32,246,1209,35,52,41.5,"C"
16,22,9,71,189,1403,121,69,0,"D"
10,24,25,46,135,1415,117,75,0,"D"
14,28,-28,44,202,1421,79,160,0,"D"
6,8,5,18,70,615,20,101,35.7,"W"
18,20,-6,38,161,918,69,71,49.3,"C"
9,23,26,6,110,1401,84,27,0,"D"
1,8,9,40,59,1013,109,181,100,"D"
5,18,6,24,108,1217,150,126,0,"D"
8,14,-1,12,115,718,33,51,25,"W"
1,5,8,20,31,1022,51,20,0,"D"
3,10,-7,47,86,1159,84,133,100,"D"
10,13,0,4,101,976,30,7,42.9,"W"
6,10,2,22,124,767,46,134,42.6,"W"
3,1,-1,11,29,607,8,37,62.5,"W"
17,16,21,36,118,916,56,101,51.6,"C"
1,1,-16,28,36,965,62,121,0,"D"
2,7,2,11,33,856,17,43,0,"D"
13,20,-10,26,80,893,44,130,36.8,"W"
8,23,-26,48,211,1336,90,128,0,"D"
21,20,5,24,144,901,30,171,38.6,"W"
23,25,20,26,187,909,27,34,0,"W"
11,22,-7,20,70,989,55,25,51.3,"C"
15,18,-17,14,154,834,23,109,17.2,"W"
0,8,-2,14,86,1008,94,85,0,"D"
8,15,2,72,79,652,44,185,47.4,"W"
15,18,1,50,137,1101,60,182,45.9,"W"
3,10,1,30,58,939,106,167,0,"D"
1,17,18,49,78,1247,156,142,0,"D"
26,38,27,38,179,1048,37,86,44.4,"W"
3,10,-2,8,82,1149,56,26,0,"D"
8,24,3,28,122,1491,108,21,50,"D"
1,6,-1,8,51,997,18,18,0,"D"
3,4,-3,8,27,751,26,59,43.5,"C"
11,14,-14,14,99,617,10,77,0,"W"
3,8,0,26,49,695,42,54,44.3,"C"
10,15,-19,26,167,1015,35,48,45.8,"W"
11,10,2,24,80,1658,9,12,0,"W"
10,21,-18,35,164,907,28,54,47.7,"C"
19,32,-31,22,213,974,37,33,45,"W"
31,23,-13,34,278,969,41,90,46.7,"W"
5,47,9,32,133,1352,103,51,0,"D"
0,3,0,2,14,550,8,8,49.6,"C"
24,60,2,26,227,1165,18,16,20,"W"
4,2,0,10,55,799,11,48,45.2,"W"
11,50,20,42,117,1286,57,96,47.8,"C"
12,14,10,20,72,866,58,35,43.1,"W"
2,3,-11,14,61,1031,27,27,0,"D"
2,5,-1,2,42,784,6,17,46.2,"W"
13,25,0,63,214,1487,161,93,0,"D"
4,19,-11,8,84,2077,69,46,0,"D"
6,12,18,27,93,1043,155,133,0,"D"
7,8,-12,26,113,823,32,134,36.5,"C"
34,68,28,20,193,1222,23,30,58.6,"C"
11,8,-14,17,88,792,83,137,58,"W"
8,6,-14,6,50,740,7,12,50,"W"
12,23,-31,26,119,1397,154,114,0,"D"
7,7,1,28,57,653,30,68,58.8,"W"
0,2,-4,17,15,896,54,69,0,"D"
13,52,10,25,221,1287,116,53,0,"D"
25,39,34,50,136,969,42,57,43.4,"C"
27,9,11,16,167,1772,37,68,45.5,"W"
8,4,-10,8,93,975,12,47,40.8,"C"
21,46,13,18,193,1127,45,47,55.2,"W"
12,12,3,11,65,666,39,63,53.1,"C"
8,25,-14,38,132,1325,74,78,0,"D"
3,10,-9,21,93,1267,188,84,0,"D"
2,1,-6,6,15,634,4,10,0,"C"
0,2,4,31,19,884,19,57,0,"D"
3,12,21,22,82,1004,42,45,0,"D"
2,14,0,83,142,1026,123,170,0,"D"
2,3,-7,35,53,1105,81,126,0,"D"
22,26,-9,42,171,989,46,142,50,"C"
5,4,15,22,59,970,102,35,0,"D"
5,11,1,6,71,1113,45,30,0,"D"
10,21,8,28,169,957,36,112,42.9,"W"
3,6,5,32,89,1088,100,238,0,"D"
4,19,12,20,73,1312,169,91,0,"D"
3,6,-13,212,55,467,23,124,47.5,"W"
39,54,14,34,278,1149,44,72,48.6,"W"
3,21,-6,33,66,1211,113,82,0,"D"
17,27,1,64,270,1292,80,83,33.3,"D"
1,10,-9,79,107,1242,124,83,0,"D"
10,22,-20,21,165,1132,69,81,0,"D"
3,3,-1,6,31,502,15,31,75,"W"
2,12,2,15,54,722,19,38,66.7,"W"
5,5,-14,23,62,847,21,66,55.1,"C"
0,1,-21,21,26,893,35,71,0,"D"
2,3,0,8,28,798,44,35,0,"D"
11,20,1,72,129,1594,38,113,45.8,"W"
13,11,-3,82,82,721,25,82,20,"W"
4,9,3,88,68,692,32,154,10,"W"
29,26,-16,37,175,1042,42,85,50.5,"W"
4,9,-4,54,56,649,23,118,50,"W"
3,6,-2,6,37,716,6,50,40,"W"
25,19,1,18,172,1041,36,40,50.5,"W"
17,46,32,54,216,1551,110,139,50,"D"
3,8,0,8,51,961,35,8,0,"D"
16,31,10,16,135,901,33,45,43.5,"C"
13,18,3,39,141,934,36,131,44.1,"W"
5,8,-1,39,56,565,42,123,49.3,"W"
24,26,11,20,151,2150,61,61,48.2,"C"
22,24,-2,41,175,1086,71,84,50.8,"C"
5,20,20,24,87,1084,110,76,0,"D"
7,18,5,10,86,829,17,26,43.8,"W"
20,32,10,26,180,979,39,56,42.9,"C"
1,8,-3,18,32,1242,118,16,0,"D"
2,10,-7,2,18,857,1,3,40,"W"
22,34,-20,32,257,1104,34,31,55,"W"
4,13,-5,14,80,2284,83,136,0,"D"
1,3,-10,7,30,744,12,14,47.1,"C"
1,3,-1,14,42,781,28,20,0,"D"
29,20,2,58,247,1039,64,137,48.5,"W"
22,22,-1,10,158,1161,29,35,53.8,"C"
27,42,-2,32,204,1152,42,41,47.7,"W"
10,20,-12,38,179,842,38,126,40.2,"W"
3,15,-5,6,80,999,36,19,0,"D"
4,6,-4,21,52,1051,53,51,0,"D"
