"G","A","PM","PIM","S","ATOI","BLK","HIT","FO","Pos"
10,11,-16,14,143,773,25,46,55.2,"W"
5,18,-14,44,94,1216,65,44,0,"D"
10,10,-8,53,94,949,26,80,54.3,"W"
4,10,-6,12,105,1435,46,110,45.3,"W"
11,21,4,8,109,1460,50,52,54.2,"C"
18,12,2,10,142,837,31,29,36.4,"W"
11,21,-30,14,123,926,57,71,46.3,"C"
5,14,-3,16,74,2350,20,55,47.7,"C"
17,23,6,18,187,1078,61,52,34,"W"
24,22,-16,57,176,1085,54,129,57.1,"W"
4,8,2,16,36,685,18,37,42.9,"C"
9,18,2,42,120,966,49,136,55.3,"C"
24,25,-27,34,277,1002,24,35,43.3,"W"
4,21,-27,39,153,1262,119,127,0,"D"
8,22,1,10,154,1355,154,47,0,"D"
6,6,-4,8,73,709,18,61,14.3,"W"
1,7,2,69,66,1030,37,58,0,"D"
25,26,20,24,229,923,35,60,42.6,"W"
6,5,5,17,42,566,13,33,45.7,"C"
22,38,31,24,162,1075,24,40,30.8,"W"
5,14,-32,54,124,1003,29,90,47.9,"W"
7,9,-6,38,103,741,62,151,48.5,"W"
11,20,-6,50,136,1027,45,127,54.3,"W"
16,21,0,26,150,1041,64,71,45.3,"C"
5,2,-5,5,25,609,15,26,50,"W"
8,18,-12,12,138,780,26,16,55.8,"C"
13,28,6,4,107,1880,16,66,43.3,"C"
9,28,-6,8,110,1473,127,64,0,"D"
42,34,8,42,241,1069,49,42,51.2,"C"
19,27,-4,26,160,1155,32,181,56.6,"C"
1,7,11,18,68,1112,96,76,0,"D"
8,7,-20,10,102,832,15,77,50.6,"W"
4,8,4,28,65,656,31,74,51.5,"C"
27,59,18,72,212,1126,35,61,52.2,"C"
16,37,1,18,159,2143,38,43,54.9,"C"
1,10,-7,35,94,1129,75,111,0,"D"
15,31,-11,20,168,1122,58,53,40.7,"W"
3,6,-8,4,41,748,11,40,21.4,"W"
14,42,-7,26,209,1156,54,52,47.7,"C"
6,12,13,8,36,712,33,26,54.8,"C"
10,6,-5,27,68,1298,14,48,30,"W"
20,42,9,10,132,1240,39,53,54.1,"W"
3,7,-11,28,98,1005,158,106,0,"D"
4,14,29,18,131,1289,100,104,0,"D"
4,5,4,8,30,777,12,7,43,"C"
13,21,-4,33,147,913,17,43,44.3,"W"
16,43,18,82,207,1447,90,111,33.3,"D"
1,4,-5,14,41,629,14,47,44.6,"C"
2,5,-5,18,45,770,33,9,0,"D"
6,45,-1,34,149,1607,138,78,0,"D"
11,15,8,8,106,1039,32,55,51.7,"C"
8,10,13,18,79,760,56,188,27.3,"W"
2,9,7,8,31,1187,70,21,0,"D"
33,33,15,17,306,1143,37,89,25,"W"
20,14,-19,34,174,1892,29,67,13.3,"W"
37,47,-12,26,257,1196,34,30,52.9,"C"
23,41,8,14,185,1013,22,26,30.6,"W"
6,23,5,14,144,1221,70,29,0,"D"
5,12,-1,20,53,1543,39,122,56.4,"C"
3,6,-12,12,55,715,9,39,10,"C"
1,6,-4,60,35,422,16,99,58.3,"W"
13,23,-9,38,75,1101,18,32,52,"C"
17,23,0,8,118,960,45,26,51,"C"
24,25,-1,61,188,1035,16,80,41.2,"W"
20,32,-1,47,211,1181,24,32,58,"C"
24,23,9,16,251,967,17,75,36,"C"
0,2,0,12,25,474,14,24,41.7,"C"
31,44,-9,54,287,1282,55,145,54.1,"C"
3,21,9,34,144,1314,100,84,0,"D"
15,22,3,27,171,915,42,99,42.4,"W"
16,35,19,26,145,2148,35,21,51.5,"C"
7,12,-1,46,71,651,24,119,53.3,"W"
36,18,1,30,248,894,23,40,0,"W"
3,13,9,20,111,1023,113,25,0,"D"
24,32,-3,36,168,1706,18,36,25,"W"
4,28,-7,40,145,2631,105,92,0,"D"
7,3,3,34,72,1347,15,51,52.6,"C"
8,8,-5,34,91,825,40,38,60,"C"
3,5,-8,6,49,791,6,6,59,"W"
17,11,-18,20,136,860,34,83,46.9,"W"
10,10,-11,46,130,719,29,156,31.8,"W"
11,21,9,34,161,1353,174,26,0,"D"
20,65,10,50,228,1167,32,23,44.1,"W"
13,14,2,12,133,750,16,31,52,"W"
5,9,-7,16,88,774,16,15,33.3,"W"
7,9,-10,37,93,1559,49,253,48.9,"W"
5,7,-2,20,40,712,27,35,46.3,"W"
14,5,2,123,96,740,78,187,62.8,"W"
8,13,-10,12,102,777,25,17,45.7,"C"
6,10,-8,14,75,1521,59,66,0,"D"
2,3,2,16,40,723,35,47,0,"D"
2,6,5,32,58,874,69,108,0,"D"
4,4,-7,21,44,634,14,77,50,"W"
8,27,22,12,74,1088,46,28,45.2,"C"
16,21,8,16,207,1355,92,58,0,"D"
23,68,13,52,246,1215,66,94,45.9,"W"
2,4,1,8,24,801,15,12,33.3,"C"
16,35,-9,56,198,995,42,79,44.8,"W"
6,12,-5,6,75,788,23,38,52.2,"C"
6,8,-20,8,98,1913,33,128,52.6,"W"
14,21,10,187,123,959,51,250,46.3,"W"
9,8,-11,45,86,1396,41,179,46.4,"W"
6,17,5,27,82,814,53,27,44.7,"W"
1,3,-1,68,16,413,11,57,50,"W"
19,13,-6,84,170,748,22,75,66.7,"W"
9,7,2,26,94,650,9,60,0,"W"
8,48,7,35,179,1469,101,26,0,"D"
8,17,-3,30,112,862,22,70,43.9,"C"
7,13,4,103,94,1168,106,278,0,"D"
5,8,8,31,54,1333,134,113,0,"D"
12,14,-8,25,91,1074,38,64,50.9,"C"
11,45,1,14,180,1170,34,49,48.4,"W"
27,20,-23,14,212,1078,64,92,50.8,"C"
16,37,-10,36,178,1135,67,62,26.2,"W"
33,31,8,44,222,1018,47,80,22.2,"W"
